ordem,arquivo,xOff,yOff,xSize,ySize
1,19_771.ecw,0,640000,20000,20000
2,20_770.ecw,20000,660000,20000,20000
3,20_771.ecw,20000,640000,20000,20000
4,20_772.ecw,20000,620000,20000,20000
5,20_773.ecw,20000,600000,20000,20000
6,20_774.ecw,20000,580000,20000,20000
7,20_775.ecw,20000,560000,20000,20000
8,20_776.ecw,20000,540000,20000,20000
9,21_767.ecw,40000,720000,20000,20000
10,21_768.ecw,40000,700000,20000,20000
11,21_769.ecw,40000,680000,20000,20000
12,21_770.ecw,40000,660000,20000,20000
13,21_771.ecw,40000,640000,20000,20000
14,21_772.ecw,40000,620000,20000,20000
15,21_773.ecw,40000,600000,20000,20000
16,21_774.ecw,40000,580000,20000,20000
17,21_775.ecw,40000,560000,20000,20000
18,21_776.ecw,40000,540000,20000,20000
19,21_777.ecw,40000,520000,20000,20000
20,22_766.ecw,60000,740000,20000,20000
21,22_767.ecw,60000,720000,20000,20000
22,22_768.ecw,60000,700000,20000,20000
23,22_769.ecw,60000,680000,20000,20000
24,22_770.ecw,60000,660000,20000,20000
25,22_771.ecw,60000,640000,20000,20000
26,22_772.ecw,60000,620000,20000,20000
27,22_773.ecw,60000,600000,20000,20000
28,22_774.ecw,60000,580000,20000,20000
29,22_775.ecw,60000,560000,20000,20000
30,22_776.ecw,60000,540000,20000,20000
31,22_777.ecw,60000,520000,20000,20000
32,23_766.ecw,80000,740000,20000,20000
33,23_767.ecw,80000,720000,20000,20000
34,23_768.ecw,80000,700000,20000,20000
35,23_769.ecw,80000,680000,20000,20000
36,23_770.ecw,80000,660000,20000,20000
37,23_771.ecw,80000,640000,20000,20000
38,23_772.ecw,80000,620000,20000,20000
39,23_773.ecw,80000,600000,20000,20000
40,23_774.ecw,80000,580000,20000,20000
41,23_775.ecw,80000,560000,20000,20000
42,23_776.ecw,80000,540000,20000,20000
43,23_777.ecw,80000,520000,20000,20000
44,24_766.ecw,100000,740000,20000,20000
45,24_767.ecw,100000,720000,20000,20000
46,24_768.ecw,100000,700000,20000,20000
47,24_769.ecw,100000,680000,20000,20000
48,24_770.ecw,100000,660000,20000,20000
49,24_771.ecw,100000,640000,20000,20000
50,24_772.ecw,100000,620000,20000,20000
51,24_773.ecw,100000,600000,20000,20000
52,24_774.ecw,100000,580000,20000,20000
53,24_775.ecw,100000,560000,20000,20000
54,24_776.ecw,100000,540000,20000,20000
55,24_777.ecw,100000,520000,20000,20000
56,25_766.ecw,120000,740000,20000,20000
57,25_767.ecw,120000,720000,20000,20000
58,25_768.ecw,120000,700000,20000,20000
59,25_769.ecw,120000,680000,20000,20000
60,25_770.ecw,120000,660000,20000,20000
61,25_771.ecw,120000,640000,20000,20000
62,25_772.ecw,120000,620000,20000,20000
63,25_773.ecw,120000,600000,20000,20000
64,25_774.ecw,120000,580000,20000,20000
65,25_775.ecw,120000,560000,20000,20000
66,25_776.ecw,120000,540000,20000,20000
67,25_777.ecw,120000,520000,20000,20000
68,25_778.ecw,120000,500000,20000,20000
69,25_779.ecw,120000,480000,20000,20000
