ordem,arquivo,xOff,yOff,xSize,ySize
260,31_797.ecw,443225.250242034,208134.323973186,40001,40001
261,31_798.ecw,443225.250242216,168134.323973257,40001,40001
262,31_799.ecw,443225.250242395,128134.32397332,40001,40001
263,31_800.ecw,443225.250242478,88134.3239742294,40001,40001
264,31_801.ecw,443225.250240337,48134.3237269521,40001,40000
265,31_802.ecw,443225.250242924,29539.901302252,15243,18595
266,32_770.ecw,483225.250239808,1288134.32369275,40001,28654
267,32_771.ecw,483225.250239928,1248134.32369383,40001,40000
268,32_772.ecw,483225.250240104,1208134.32369491,40001,40000
269,32_773.ecw,483225.250240276,1168134.32369599,40001,40000
270,32_774.ecw,483225.250240451,1128134.32369707,40001,40000
271,32_775.ecw,483225.250240621,1088134.32369816,40001,40000
272,32_776.ecw,483225.250240791,1048134.32369925,40001,40000
273,32_777.ecw,483225.250240961,1008134.32370034,40001,40000
274,32_778.ecw,483225.250241127,968134.323701434,40001,40000
275,32_779.ecw,483225.250241295,928134.323702522,40001,40000
276,32_780.ecw,483225.250254721,888134.323978044,40000,40000
277,32_781.ecw,483225.250254721,848134.323978044,40000,40000
278,32_782.ecw,483225.250241785,808134.323705815,40001,40000
279,32_783.ecw,483225.250241947,768134.323706917,40001,40000
280,32_784.ecw,483225.250242105,728134.32370802,40001,40000
281,32_785.ecw,483225.250242264,688134.323709127,40001,40000
282,32_786.ecw,483225.250242422,648134.323710233,40001,40000
283,32_787.ecw,483225.25024258,608134.323711343,40001,40000
284,32_788.ecw,483225.250242734,568134.323712453,40001,40000
285,32_789.ecw,483225.250242888,528134.32371356,40001,40000
286,32_790.ecw,483225.250243043,488134.323714681,40001,40000
287,32_791.ecw,483225.250243193,448134.323715795,40001,40000
288,32_792.ecw,483225.250243344,408134.323716916,40001,40000
289,32_793.ecw,483225.250243493,368134.323718034,40001,40000
290,32_794.ecw,483225.250243642,328134.323719155,40001,40000
291,32_795.ecw,483225.250243789,288134.323720284,40001,40000
292,32_796.ecw,483225.250246329,248134.323973238,40001,40001
293,32_797.ecw,483225.250246451,208134.323973306,40001,40001
294,32_798.ecw,483225.250246574,168134.323973373,40001,40001
295,32_799.ecw,483225.250246698,128134.323974289,40001,40001
296,32_800.ecw,483225.250246816,88134.3239743486,40001,40001
297,32_801.ecw,483225.250246938,48134.3239744529,40001,40000
298,32_802.ecw,500870.130529164,19373.9173300564,22356,28761
299,33_770.ecw,523225.250244366,1288134.32369284,30003,25740
300,33_771.ecw,523225.250244443,1248134.32369392,40001,40000
301,33_772.ecw,523225.250244564,1208134.323695,40001,40000
302,33_773.ecw,523225.250244685,1168134.32369608,40001,40000
303,33_774.ecw,523225.250244805,1128134.32369716,40001,40000
304,33_775.ecw,523225.250244925,1088134.32369825,40001,40000
305,33_776.ecw,523225.250245042,1048134.32369934,40001,40000
306,33_777.ecw,523225.250245161,1008134.32370043,40001,40000
307,33_778.ecw,523225.250254721,968134.323978044,40000,40000
308,33_779.ecw,523225.250254721,928134.323978044,40000,40000
309,33_780.ecw,523225.250254721,888134.323978044,40000,40000
310,33_781.ecw,523225.250254721,848134.323978044,40000,40000
311,33_782.ecw,523225.250245736,808134.323705904,40001,40000
312,33_783.ecw,523225.250245846,768134.323706996,40001,40000
313,33_784.ecw,523225.250245959,728134.323708106,40001,40000
314,33_785.ecw,523225.250246068,688134.323709209,40001,40000
315,33_786.ecw,523225.25024618,648134.323710315,40001,40000
316,33_787.ecw,523225.250246288,608134.323711425,40001,40000
317,33_788.ecw,523225.250246396,568134.323712535,40001,40000
318,33_789.ecw,523225.250246504,528134.323713645,40001,40000
319,33_790.ecw,523225.25024661,488134.323714763,40001,40000
320,33_791.ecw,523225.250246716,448134.323715877,40001,40000
321,33_792.ecw,523225.250246821,408134.323716998,40001,40000
322,33_793.ecw,523225.250246927,368134.323718116,40001,40000
323,33_794.ecw,523225.250247028,328134.323719237,40001,40000
324,33_795.ecw,523225.250247131,288134.323720362,40001,40000
325,33_796.ecw,523225.250249496,248134.32397332,40001,40000
326,33_797.ecw,523225.250249575,208134.323973384,40001,40000
327,33_798.ecw,523225.250249654,168134.323973451,40001,40000
328,33_799.ecw,523225.250249737,128134.323974371,40001,40000
329,33_800.ecw,523225.250249814,88134.3239744306,40001,40000
330,33_801.ecw,523225.250249887,48134.3239736445,40001,40000
331,33_802.ecw,523225.250249964,8134.32397372648,40001,40000
332,33_803.ecw,542026.77937099,0,21199,8135
333,34_771.ecw,563225.250247668,1248134.32369398,13152,22911
334,34_772.ecw,563225.250247715,1208134.32369506,40001,40000
335,34_773.ecw,563225.250247796,1168134.32369614,40001,40000
336,34_774.ecw,563225.250247877,1128134.32369722,40001,40000
337,34_775.ecw,563225.25024796,1088134.32369831,40001,40000
338,34_776.ecw,563225.250248043,1048134.3236994,40001,40000
339,34_777.ecw,563225.250248123,1008134.32370049,40001,40000
340,34_778.ecw,563225.250254721,968134.323978044,40000,40000
341,34_779.ecw,563225.250254721,928134.323978044,40000,40000
342,34_780.ecw,563225.250254721,888134.323978044,40000,40000
343,34_781.ecw,563225.250254721,848134.323978044,40000,40000
344,34_782.ecw,563225.25024852,808134.323705956,40001,40000
345,34_783.ecw,563225.250248596,768134.323707059,40001,40000
346,34_784.ecw,563225.250248674,728134.323708162,40001,40000
347,34_785.ecw,563225.250248749,688134.323709264,40001,40000
348,34_786.ecw,563225.250248826,648134.323710371,40001,40000
349,34_787.ecw,563225.2502489,608134.323711481,40001,40000
350,34_788.ecw,563225.250248975,568134.323712595,40001,40000
351,34_789.ecw,563225.25024905,528134.323713701,40001,40000
352,34_790.ecw,563225.250249122,488134.323714815,40001,40000
353,34_791.ecw,563225.250249196,448134.323715933,40001,40000
354,34_792.ecw,563225.250249268,408134.32371705,40001,40000
355,34_793.ecw,563225.250249339,368134.323718168,40001,40000
356,34_794.ecw,563225.250249413,328134.323719293,40001,40000
357,34_795.ecw,563225.250249483,288134.323720414,40001,40000
358,34_796.ecw,563225.250251682,248134.323973373,40001,40000
359,34_797.ecw,563225.25025173,208134.323973436,40001,40000
360,34_798.ecw,563225.250251782,168134.323973496,40001,40000
361,34_799.ecw,563225.250251835,128134.323974423,40001,40000
362,34_800.ecw,563225.250251883,88134.323974479,40001,40000
363,34_801.ecw,563225.25025193,48134.3239745423,40001,40000
364,34_802.ecw,563225.25025199,7935.19775388762,40001,40200
365,34_803.ecw,563225.250252027,1751.56562463194,3599,6383
366,35_772.ecw,603225.250249921,1208134.32369509,15024,16727
367,35_773.ecw,603225.250249944,1168134.32369618,36819,40000
368,35_774.ecw,603225.250250001,1128134.32369726,40001,40000
369,35_775.ecw,603225.250250061,1088134.32369835,40001,40000
370,35_776.ecw,603225.250250117,1048134.32369944,40001,40000
371,35_777.ecw,603225.250250174,1008134.32370052,40001,40000
372,35_778.ecw,603225.250254721,968134.323978044,40000,40000
373,35_779.ecw,603225.250254721,928134.323978044,40000,40000
374,35_780.ecw,603225.250254721,888134.323978044,40000,40000
375,35_781.ecw,603225.250254721,848134.323978044,40000,40000
376,35_782.ecw,603225.250250444,808134.323705994,40001,40000
377,35_783.ecw,603225.250250497,768134.323707096,40001,40000
378,35_784.ecw,603225.250250548,728134.323708199,40001,40000
379,35_785.ecw,603225.250250602,688134.323709302,40001,40000
380,35_786.ecw,603225.250250655,648134.323710408,40001,40000
381,35_787.ecw,603225.250250706,608134.323711514,40001,40000
382,35_788.ecw,603225.250250757,568134.323712625,40001,40000
383,35_789.ecw,603225.250250808,528134.323713735,40001,40000
384,35_790.ecw,603225.250250857,488134.323714852,40001,40000
385,35_791.ecw,603225.250250907,448134.323715966,40001,40000
386,35_792.ecw,603225.250250958,408134.323717084,40001,40000
387,35_793.ecw,603225.250251008,368134.323718201,40001,40000
388,35_794.ecw,603225.250251057,328134.323719326,40001,40000
389,35_795.ecw,603225.250251106,288134.323720448,40001,40000
390,35_796.ecw,603225.250251154,248134.323721576,40001,40000
391,35_797.ecw,603225.250251202,208134.323722702,40001,40000
392,35_798.ecw,603225.25025125,168134.32372383,40001,40000
393,35_799.ecw,603225.250251299,128134.323724963,40001,40000
394,35_800.ecw,603225.250251345,88134.3237260878,40001,40000
395,35_801.ecw,603225.250251392,48134.3237272277,40001,40000
396,35_802.ecw,603225.250251434,12733.007810276,40001,35402
397,36_774.ecw,643225.250254725,1128134.32397804,12472,28260
398,36_775.ecw,643225.250254725,1088134.32397804,28335,40000
399,36_776.ecw,643225.250254725,1048134.32397804,40000,40000
400,36_777.ecw,643225.250254721,1008134.32397804,40000,40000
401,36_778.ecw,643225.250254721,968134.323978044,40000,40000
